Key,Text_EN,Text_KO,비고
popupwinningstreak.txttitle,Winning Streak,불꽃 연승,
popupwinningstreakinfo.textclose,Tap to Continue,계속하려면 탭하세요,
popupwinningstreakinfo.textdescription,"If you <color=#e7656b>fail</color> a level,\nyour multiplier will reset!",레벨을 <color=#e7656b>실패</color>하면\n배수가 초기화돼요!,
popupwinningstreakinfo.textinfo1,"Win levels,\ncollect <color=#FFD700> Flames! </color>",레벨을 클리어하고\n<color=#FFD700>불꽃</color>을 모으세요!,
popupwinningstreakinfo.textinfo2,Multiply <color=#FFD700> Flames </color>\nup to x100!,<color=#FFD700>불꽃</color>을 최대 x100까지\n늘려 보세요!,
popupwinningstreakinfo.textinfo3,Get <color=#FFD700>rewards!,<color=#FFD700>보상</color>을 받으세요!,
shoplistitem.textsale,{n}% OFF,{n}% 할인,
shop.bundle.tier1.title,Pop Bundle,팝 번들,
shop.bundle.tier2.title,Super Bundle,슈퍼 번들,
shop.bundle.tier3.title,Mega Bundle,메가 번들,
shop.bundle.tier4.title,Giant Bundle,자이언트 번들,
shop.bundle.tier5.title,Ultimate Bundle,얼티밋 번들,
slotwinningstreak.txtgrandprize,Grand Prize,엄청난 보상,
spawner.magazinetext,0,0,
tutorial.instructiontext,Tutorial instruction text,튜토리얼 안내 문구,
tutorial.text,SKIP,건너뛰기,
tutorial.texttap,Tap to Anywhere,아무 곳이나 탭하세요,
tutorial.textitem,Tap your item!,아이템을\n탭하세요!,
txttoast.txttoast,"Your lives are unlimited!
",생명이 무제한이에요!,
uihud.holdertext,On Rail: 0/9,레일 위: 0/9,
uihud.remainingtext,Balloons: --,풍선: --,
uilobby.text,"Home
",홈,
uilobby.textgauge,{n}/{n},{n}/{n},
uilobby.multiplier,x{n},x{n},
uilobby.texthome,"Home
",홈,
uilobby.textshop,Shop,상점,
uilobby.texttimer,{}d {}h,{}일 {}시간,
uilobby.txtlife,Full,가득 참,
uilobby.txtnotification,Notifications,알림,
uisetting.textprivacy,Privacy,개인정보 처리방침,
uisetting.textsupport,Support,고객 지원,
uisetting.textterms,Terms,이용약관,
uititle.txtloading,Loading..,로딩 중..,
useitem.txtdescription.hand,"Tap any box to place it!
",원하는 상자를 탭해서 배치하세요!,UseItem
useitem.txtdescription.zap,Tap any color to pop them all!,원하는 색을 탭해서 모두 제거하세요!,
popupcommonframe.txttitle.setting,Settings,설정,설정
ui.settings.sound,Sound,소리,
ui.settings.music,Music,음악,
uisetting.txthaptic,Haptic,진동,
ui.hard,Hard,어려움,
ui.hardlevel,Hard Level,어려운 레벨,
ui.superhard,Super Hard,매우 어려움,
ui.shop.more_offers,More Offers,더 보기,
ui.morelive.free,Watch,시청,
ui.morelive.unlimited,UNLIMITED,무제한,
ui.morelive.full,FULL,가득 참,
ui.tutorial.skip,SKIP,건너뛰기,
popup.title.level,Level {0},레벨 {0},
popup.title.level_failed,Level Failed,레벨 실패,
popup.title.level_clear,Level Clear!,레벨 클리어!,
error.network.title,Connection Error,연결 오류,
error.network.desc,No internet connection. Please check your network.,인터넷에 연결되어 있지 않아요. 네트워크 상태를 확인해 주세요.,
error.payment.title,Error,오류,
error.payment.desc,Payment failed. Please try again.,결제에 실패했어요. 다시 시도해 주세요.,
error.success.title,Your purchase was completed,구매가 완료되었어요,
error.success.desc,Purchase successful!,구매가 완료되었어요!,
popupgoldshop.txtdescription,"No Ads,\nJust Fun!","광고는 없이,\n재미만 가득!",
ui.common.ok,OK,확인,
ui.common.cancel,Cancel,취소,
ui.common.close,Close,닫기,
ui.common.continue,Continue,계속,
ui.common.quit,Quit,종료,
ui.common.on,On,켜기,
ui.common.off,Off,끄기,
ui.common.stay,Stay,머무르기,
ui.common.cliam,Claim,받기,
ui.common.resume,Resume,계속,
ui.common.retry,Retry,재시도,
uilobby.txtplay,,,
popup.txttitle,,,
popup.txttitle.moreLives,More Lives,생명을 추가하세요,
popup.txttitle.quit,Quit Game?,게임을 종료할까요?,안드로이드 백버튼 시 등장 (PopupDescription)
popup.txttitle.networkerror,Not Connected,연결 안 됨,인터넷 연결 (PopupError)
popup.txttitle.,,,
popup.txttitle.allclear,Congratulations!,축하해요!,Lv.300 클리어 후 또는 Lv.301 터치 시 (PopupDescription)
popup.txttitle.lv,Level {n},레벨 {n},결과팝업 성공 실패 시 동일
popup.txttitle.noads,NO ADS,광고 제거,광고제거 팝업
popup.txttitle.purchaseerror,Not Charged,결제되지 않음,결제실패 (PopupDescription)
popup.txttitle.purchasesuccess,Success,성공,PopupError
popup.txttitle.settingquit,Quit Level?,레벨을 종료할까요?,PopupQuit
popup.txttitle.hand,Hand,핸드,PopupBuyItem
popup.txttitle.suffle,Shuffle,셔플,PopupBuyItem
popup.txttitle.zap,Zap,번개,PopupBuyItem
popup.txttitle.unlock,Unlock,잠금 해제,PopupBuyItem
popup.txtdescription.quit,Do you really want to quit?,정말 종료하시겠어요?,PopupDescription
popup.txtdescription.networkerror,Your internet is\ndisconnected.,인터넷 연결이 끊어졌어요.,PopupDescription
popup.txtdescription.purchaseerror,Your purchase\nwas canceled.,구매가 취소되었어요.,PopupDescription
popup.txtdescription.purchasesuccess,Your purchase\nwas completed.,구매가 완료되었어요.,PopupDescription
popup.txtdescription.settingquit,You will lose a life!,생명을 잃게 돼요!,PopupQuit
popup.txtdescription.allclear,New levels coming soon!,새로운 레벨이 곧 출시돼요!,PopupDescription
popup.txtdescription.hand,Place any box directly!,원하는 상자를 바로 배치해요!,PopupBuyItem
ppopup.txtdescription.suffle,Shuffle all boxes instantly!,모든 상자를 즉시 섞어요!,PopupBuyItem / 최신 TextData에 없음
popup.txtdescription.zap,Pop everything of one color!,한 가지 색을 전부 터뜨려요!,PopupBuyItem
popup.txtdescription.zap,Pop everything of one color!,한 가지 색을 전부 터뜨려요!,
popup.txtdescription.zap,Pop everything of one color!,한 가지 색을 전부 터뜨려요!,
popup.txtdescription.zap,Pop everything of one color!,한 가지 색을 전부 터뜨려요!,
toast.life.unlimited,Your lives are unlimited!,생명이 무제한이에요!,
toast.life.full,Your lives are full!,생명이 가득 찼어요!,
popupwinningstreak.txtdescriptionoutline,"Win levels to collect <color=#FFD700>Flames!</color>\nLonger streak, more rewards!",레벨을 클리어하고 <color=#FFD700>불꽃</color>을 모으세요!\n연승이 길수록 보상도 커져요!,신규
shoplistitem.t1,Pop Bundle,팝 번들,신규
shoplistitem.t2,Super Bundle,슈퍼 번들,신규
shoplistitem.t3,Mega Bundle,메가 번들,신규
shoplistitem.t4,Giant Bundle,자이언트 번들,신규
shoplistitem.t5,Ultimate Bundle,얼티밋 번들,신규
shoplistitem.starter,Starter Bundle,스타터 번들,신규
shoplistitem.noads,NO ADS,광고 제거,신규
ingame_almost_there,Almost There!,조금만 더!,신규
ui.lobby.noads,NO ADS,광고 제거,신규
ui.lobby.hard_level,Hard Level,어려운 레벨,신규
ui.lobby.super_hard,Super Hard,매우 어려움,신규
ui.settings.title,Settings,설정,신규
ui.settings.haptic,Haptic,진동,신규
ui.settings.notifications,Notifications,알림,신규
ui.settings.deleteaccount,Delete Account,계정 삭제,신규
ui.normal,Normal,보통,신규
ui.shop.title,Shop,상점,신규
ui.common.delete,Delete,삭제,신규
popup.txttitle.deleteaccount,Are You Sure?,정말 삭제할까요?,신규
popup.txttitle.itemunlocked,Item Unlocked!,아이템 잠금 해제!,신규
popup.txtdescription.purchasecompleted,Your purchase was completed.,구매가 완료되었어요.,신규
popup.txtdescription.deleteaccount1,"If you delete your account,\nyou will lose all your game progress, coins, boosters and purchases!","계정을 삭제하면 게임 진행 상황, 코인,\n부스터, 구매한 상품을 모두 잃게 돼요!",신규
popup.txtdescription.deleteaccount2,"Your deletion request will be processed immediately. Once your account is deleted, this action cannot be reversed.",삭제 요청은 즉시 처리돼요. 계정이 삭제된 후에는 되돌릴 수 없어요.,신규
popup.txtdescription.deleteaccount3,"If you return to the game before your account is deleted, you can cancel the deletion process and restore your account.",계정이 삭제되기 전에 게임에 다시 접속하면 삭제를 취소하고 계정을 복구할 수 있어요.,사용 안 함
popup.txtdescription.settingquit.multiplier,You will lose your x{n} multiplier!,x{n} 배수를 잃게 돼요!,신규
popup.txtdescription.suffle,Shuffle all boxes instantly!,모든 상자를 즉시 섞어요!,신규
toast.item.locked,Unlocks at Level {n},레벨 {n}에서 잠금 해제,신규
popup.privacyterm.title,Welcome!,환영해요!,신규
popup.privacyterm.description,"By tapping ""Accept,"" you agree\nto our <color=#0D49AD><link=""terms""><u>Terms of Service</u></link></color>\nand <color=#0D49AD><link=""privacy""><u>Privacy Policy</u></link></color>.","""동의""버튼을 누르면 <color=#0D49AD><link=""terms""><u>이용약관</u></link></color>과\n<color=#0D49AD><link=""privacy""><u>\n개인정보 처리방침</u></link></color>에 동의하게 됩니다.",신규
popup.privacyterm.terms,Terms of Service,이용약관,신규
popup.privacyterm.privacy,Privacy Policy,개인정보 처리방침,신규
popup.privacyterm.accept,Accept,동의,신규
tutorial.allmostfull.warning,Conveyor almost full! Clear it or fail!,컨베이어가 거의 다 찼어요!\n비우지 못하면 실패해요!,
tutorial.tap.dartbox,Tap a dart box to pop\nsame color balloons!,다트 상자를 탭해서\n같은 색 풍선을 터뜨리세요!,
tutorial.continue.clearballoon,Keep popping the remaining\nballoons to clear the level!,남은 풍선을 계속 터뜨려서\n레벨을 클리어하세요!,
ui.common.giveup,Give Up,포기하기,
popupcontinue.txtspendcoins,Spend coins to keep playing.,코인을 사용해 계속 플레이하세요.,
popupuseitem.txttitle,Use Item,아이템 사용,
popupwinningstreakinfo.texttitle,Winning Streak Info,불꽃 연승 정보,
ui.common.refill,Refill,충전,
ui.common.free,Free,무료,
loading.init,Initializing...,초기화 중...,
loading.connect_server,Connecting server...,서버 연결 중...,
loading.sdk,Loading SDKs...,SDK 로딩 중...,
loading.data,Downloading data...,데이터 다운로드 중...,
loading.assets,Loading assets...,에셋 로딩 중...,
loading.finalize,Finalizing...,마무리 중...,
loading.ready,Ready,준비 완료,
loading.connect_internet,Connecting to internet...,인터넷 연결 중...,
loading.dots,LOADING,로딩,
